tipo_registro	id	classe	pt	yrl	nota
par_divergente	art39.caput	vivo	A União, os Estados, o Distrito Federal e os Municípios instituirão conselho de política de administração e remuneração de pessoal, integrado por servidores designados pelos respectivos Poderes.	Kuá Muatirisá yepéwasú, asuí kuá Istadu-itá, Distritu Federau Municípiu ita tayupirú taãmurakí tamãduaisá asuí takuásá, kuá yepé upurakíwá resé, tarikutéwá tamuyã supisá, sesewára kuá kupukusá akayu upurakí, urasusá ita sũde kití payẽ supé satãbika mayé tarikúsá kirĩbasá asui kuá umuyupirũga maã payẽ reséwaára.	PT imprime a redação da EC 19/98 (aplicação suspensa pela ADI 2.135); o livro NG traduz as duas redações — o par usa a 1ª tradução; a 2ª está em art39.caput.bis (ng_only).
par_divergente	art73.par1.inc1	vivo	mais de trinta e cinco e menos de setenta anos de idade;	urikúwaá 35 akayu iyaára kití asui kuíta isui kuá 60 akayu urikú;	NG traz '60 akayu' onde a redação (EC 122/2022) diz 'menos de setenta' — não corresponde a nenhuma redação (erro do livro).
par_divergente	art101.caput	vivo	O Supremo Tribunal Federal compõe-se de onze Ministros, escolhidos dentre cidadãos com mais de trinta e cinco e menos de setenta anos de idade, de notável saber jurídico e reputação ilibada.	Kuá Supéremu Tribunáu Federáu urikú 11 Ministru-ita, yupurawákawá sidadãu-ita pitérupí, urikúwa-ita 35 rupíwaitá até 65 akayú-ita, asuí urikúwa kuáusawá jurídiku turusú asuí urikúwa reputasãu purãgaté.	NG traz '65 akayú' (redação pré-EC 122/2022); o PT desta base traz 'menos de setenta' (EC 122). Base inconsistente do livro.
pt_sem_par	art4.caput.inc10	ng_omite_livro	concessão de asilo político.		Livro NG omitiu o inciso X do art. 4º (concessão de asilo político); o IX foi impresso com numeração 'VIX'.
pt_sem_par	art7.caput.inc29.a	pt_revogado_ng_omite	(Revogada);		
pt_sem_par	art7.caput.inc29.b	pt_revogado_ng_omite	(Revogada);		
pt_sem_par	art21.caput.inc23.d	ng_omite_livro	a responsabilidade civil por danos nucleares independe da existência de culpa;		Livro NG omitiu a alínea d do art. 21, XXIII (responsabilidade civil por danos nucleares).
pt_sem_par	art22.caput.inc11	ng_omite_livro	trânsito e transporte;		Livro NG omitiu o inciso XI do art. 22 (trânsito e transporte); o conteúdo do XII foi impresso com o rótulo XI (pareado por conteúdo com o XII do PT).
pt_sem_par	art36.caput.inc4	pt_revogado_ng_omite	(Revogado).		
pt_sem_par	art68.caput	ng_omite_livro	As leis delegadas serão elaboradas pelo Presidente da República, que deverá solicitar a delegação ao Congresso Nacional.		Livro NG omitiu o caput do art. 68; seus §§ 1º-3º foram impressos sob o art. 67 e remapeados para o art. 68 nesta base.
